date,交通和通信,医疗保健和个人用品,娱乐教育文化用品及服务,家庭设备用品及维修服务,居住,烟酒及用品,衣着,食品
2025-05-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-05-18,100.01799583333333,100.03035588235294,100.01784411764706,99.97666,100.01971666666667,100.01588571428572,100.02793611111112,99.99841063829787
2025-05-19,100.027,100.03227352941177,100.02778529411765,99.999864,100.02170555555556,99.96904285714287,100.08310555555555,100.03372127659574
2025-05-20,100.05385833333332,100.02937352941177,100.02122647058823,100.015636,100.00865555555555,99.96868571428571,100.10025555555555,100.03816382978724
2025-05-21,100.03909583333332,100.05904705882352,100.03030000000001,99.98938399999999,100.02076111111111,100.01761428571429,100.10794166666668,100.04508936170213
2025-05-22,100.05094166666667,100.07845588235294,100.05388529411765,100.021108,100.02232777777778,100.07397142857143,100.12400833333334,100.07407234042553
2025-05-23,100.068625,100.07577647058824,100.05954411764706,99.99879999999999,100.02492222222222,100.06537142857142,100.11160277777778,100.05301914893617
2025-05-24,100.09937500000001,100.10441176470589,100.08739117647059,99.98742399999999,100.03977222222221,100.11084285714286,100.12883611111111,100.05490638297873
2025-05-25,100.17345,100.10150294117648,100.10543823529412,99.97774,100.07950555555556,100.10815714285715,100.13816388888888,100.08902978723404
2025-05-26,100.18873333333333,100.13519411764706,100.11651764705883,100.00144,100.12732222222222,100.06028571428571,100.13396666666667,100.09901489361702
2025-05-27,100.15868333333333,100.14459117647058,100.14091470588235,100.006404,100.13631111111111,100.07862857142857,100.12184444444443,100.10838723404257
2025-05-28,100.16758333333333,100.14402352941177,100.16574411764705,99.99704,100.19333333333333,100.07675714285713,100.09447777777777,100.10053617021276
2025-05-29,100.16598333333333,100.23554999999999,100.18914117647059,100.026092,100.20313333333334,100.08477142857143,100.07784444444445,100.09621489361703
2025-05-30,100.20073333333333,100.25300882352941,100.18632352941177,100.02900799999999,100.22065555555555,100.06031428571428,100.07466666666667,100.10625106382979
2025-05-31,100.21629166666666,100.26126764705883,100.20375000000001,100.053672,100.26382777777778,100.02297142857142,100.07031111111111,100.11226382978722
2025-06-01,100.19402083333334,100.27445294117648,100.18528235294117,100.046956,100.23052222222222,100.0466,100.09725555555556,100.1232659574468
2025-06-02,100.15892083333334,100.26586470588235,100.20201176470587,100.055196,100.25911666666667,100.09291428571429,100.06346944444445,100.12930000000001
2025-06-03,100.18465416666668,100.26017941176471,100.19812941176471,100.0501,100.24516666666666,100.09079999999999,100.08044166666667,100.13241914893617
2025-06-04,100.20372083333332,100.23833235294117,100.20276176470588,100.032932,100.25033888888889,100.08552857142857,100.112025,100.14472127659575
2025-06-05,100.21547083333333,100.22402647058823,100.20823823529412,100.05323200000001,100.25058333333334,100.14854285714286,100.12174722222223,100.1350680851064
2025-06-06,100.2128125,100.25383235294117,100.21418235294118,100.06620000000001,100.21536111111112,100.11492857142856,100.10450277777778,100.14327872340425
2025-06-07,100.24843750000001,100.24771764705882,100.22561764705881,100.009272,100.22986666666667,100.15955714285714,100.13778055555557,100.14607234042552
2025-06-08,100.21560416666667,100.26599117647059,100.25785,100.02527599999999,100.25053333333334,100.17822857142856,100.14239166666667,100.17296382978725
2025-06-09,100.19560416666667,100.26726176470589,100.2731705882353,100.01608399999999,100.26514444444445,100.13177142857144,100.14063888888889,100.13707234042553
2025-06-10,100.20607083333333,100.28591470588236,100.2690205882353,100.056348,100.27655,100.14197142857142,100.14033333333333,100.15146808510637
2025-06-11,100.23809166666666,100.26061176470589,100.30096470588235,100.07624,100.27287777777778,100.15358571428571,100.09159444444444,100.14597021276596
2025-06-12,100.261775,100.25410882352942,100.31396764705882,100.087592,100.26712222222221,100.0946857142857,100.09449444444445,100.17656808510638
2025-06-13,100.28494583333332,100.27519705882352,100.30055588235294,100.10642,100.30811111111112,100.12468571428572,100.11148055555556,100.2006170212766
2025-06-14,100.32037083333334,100.2758794117647,100.2759205882353,100.13637999999999,100.3294,100.12469999999999,100.1190388888889,100.20324468085106
2025-06-15,97.49999583333333,97.33355882352942,97.33247352941176,97.221004,97.4999888888889,97.1314,97.1559861111111,97.1783765957447
2025-06-16,94.68629166666666,94.39753529411765,94.39049117647059,94.4077,94.58677777777777,94.29851428571429,94.30796666666667,94.29325957446808
2025-06-17,92.00825416666667,91.58253823529411,91.61114411764706,91.668252,91.88872777777777,91.6196,91.48313333333334,91.57301489361703
2025-06-18,98.8375625,98.60955882352941,98.76578823529411,98.6744,99.01136666666667,98.58274285714286,98.55666111111111,98.66569361702128
2025-06-19,106.1643375,106.00101764705882,106.09085,106.019928,107.17274444444445,105.45172857142857,105.97123611111111,106.14858085106383
2025-06-20,114.06995416666666,113.84363235294119,114.22644117647059,113.793076,115.41693333333335,113.48537142857143,113.8915638888889,114.09813191489361
2025-06-21,113.77159166666667,113.48349999999999,113.92498529411765,113.473064,115.1595388888889,113.21328571428572,113.61734722222222,113.73769787234043
2025-06-22,113.50954166666666,113.21719999999999,113.5510705882353,113.25896399999999,114.89442777777779,112.83998571428572,113.32149722222222,113.48957234042554
2025-06-23,113.17039166666666,112.91531176470589,113.3204588235294,112.935132,114.52236666666666,112.33531428571429,113.00628055555555,113.18675531914894
2025-06-24,112.8913375,112.74423823529412,113.01147058823528,112.7009,114.08380555555556,112.08987142857143,112.73136666666667,112.82195957446808
2025-06-25,112.65634583333333,112.45958235294117,112.66831764705883,112.48615600000001,113.91621666666667,111.89812857142856,112.48030833333333,112.57950638297872
2025-06-26,112.21924166666668,112.27525294117648,112.42128823529413,112.174372,113.52588888888889,111.70955714285715,112.25049722222222,112.31161914893617
2025-06-27,111.90304166666665,111.94438529411765,112.12923823529411,111.84324000000001,113.30188888888888,111.54041428571429,111.98557222222222,112.02350212765957
2025-06-28,111.66553750000001,111.62334117647059,111.90516470588236,111.606836,113.04138333333334,111.27867142857143,111.69766666666666,111.78427021276596
2025-06-29,111.43705833333333,111.24537352941176,111.54687647058824,111.41174,112.70268333333334,110.95252857142857,111.44693333333333,111.58993404255318
2025-06-30,111.31914166666667,111.07467647058824,111.41338529411765,111.298376,112.56332222222221,110.81122857142859,111.33628333333334,111.4403914893617
2025-07-01,111.22271666666667,110.94823235294118,111.29553823529412,111.183744,112.37490555555556,110.61864285714286,111.22928888888889,111.35108510638298
2025-07-02,111.12362916666666,110.81321470588236,111.1334705882353,111.078608,112.12487222222222,110.67705714285714,111.07742222222222,111.22165531914894
2025-07-03,111.13105416666667,110.69593823529412,111.0410705882353,110.97495199999999,112.0569,110.44711428571428,110.96088888888889,111.15581063829787
2025-07-04,111.08607916666666,110.53129999999999,110.88689705882354,110.854792,111.99998333333333,110.30541428571428,110.88762777777778,110.97405106382978
2025-07-05,111.01500833333334,110.51084411764705,110.86995588235294,110.724548,111.86112222222222,110.1186,110.758275,110.85543404255318
2025-07-06,110.86571249999999,110.3876911764706,110.71608823529411,110.668596,111.73425555555555,109.91127142857142,110.57300833333333,110.74115957446809
