product_id,category_id,name,price,change_date
200552514070,1101010001,大米_276,4.67,2027-11-04
873444722918,1101010001,大米_83,7.33,2027-11-04
331701444410,1101010001,大米_292,4.25,2027-11-04
186622374831,1101010001,大米_169,4.44,2027-11-04
280516194071,1101010001,大米_149,4.07,2027-11-04
739585752481,1101010001,大米_65,4.23,2027-11-04
534918802469,1101010001,大米_207,3.73,2027-11-04
392207117515,1101010001,大米_133,4.71,2027-11-04
336231207031,1101010001,大米_103,3.72,2027-11-04
963877525880,1101010001,大米_278,4.61,2027-11-04
749420525342,1101010001,大米_93,4.06,2027-11-04
172194647903,1101010001,大米_300,4.73,2027-11-04
520892352855,1101010001,大米_257,4.08,2027-11-04
600436649506,1101010001,大米_242,5.46,2027-11-04
492429797684,1101010001,大米_48,3.77,2027-11-04
866434033085,1101010001,大米_266,2.57,2027-11-04
950683748525,1101010001,大米_225,4.21,2027-11-04
870135459213,1101010001,大米_63,3.44,2027-11-04
702128947543,1101010001,大米_310,3.44,2027-11-04
971961247652,1101010001,大米_3,2.54,2027-11-04
584240535162,1101010001,大米_161,3.09,2027-11-04
331943329056,1101010001,大米_293,7.16,2027-11-04
442475670310,1101010001,大米_40,4.06,2027-11-04
927021055959,1101010001,大米_213,4.87,2027-11-04
430099668650,1101010001,大米_193,3.04,2027-11-04
623776555823,1101010001,大米_208,4.69,2027-11-04
361431196470,1101010001,大米_46,5.07,2027-11-04
492429797684,1101010001,大米_48,4.0,2027-11-04
477216527133,1101010001,大米_91,3.4,2027-11-04
582630995520,1101010001,大米_281,3.61,2027-11-04
540591254224,1101010001,大米_66,3.88,2027-11-04
786371839819,1101010001,大米_36,3.63,2027-11-04
382855341258,1101010001,大米_297,3.39,2027-11-04
790429099988,1101010001,大米_77,3.04,2027-11-04
797675927685,1101010001,大米_301,3.12,2027-11-04
437571895004,1101010001,大米_239,3.65,2027-11-04
390545931533,1101010001,大米_119,3.92,2027-11-04
331943329056,1101010001,大米_293,4.43,2027-11-04
390683532355,1101010001,大米_180,4.74,2027-11-04
789043102426,1101010001,大米_275,4.61,2027-11-04
725952758104,1101010001,大米_137,4.01,2027-11-04
354512854897,1101010001,大米_192,3.85,2027-11-04
757891291342,1101010001,大米_123,4.67,2027-11-04
602807511034,1101010001,大米_190,3.0,2027-11-04
734581356061,1101010001,大米_228,3.72,2027-11-04
894552695340,1101010001,大米_215,4.86,2027-11-04
958799310584,1101010001,大米_159,3.76,2027-11-04
933020592207,1101010001,大米_186,5.03,2027-11-04
702128947543,1101010001,大米_310,3.24,2027-11-04
498706863103,1101010001,大米_182,3.94,2027-11-04
563210899191,1101010001,大米_187,2.16,2027-11-04
396337249288,1101010001,大米_37,3.63,2027-11-04
933360656085,1101010001,大米_79,3.62,2027-11-04
551985758736,1101010001,大米_95,3.73,2027-11-04
220921523822,1101010001,大米_162,5.26,2027-11-04
252347993480,1101010001,大米_120,3.39,2027-11-04
157256540858,1101010001,大米_2,3.1,2027-11-04
462254215448,1101010001,大米_71,4.63,2027-11-04
626363896857,1101010001,大米_267,3.47,2027-11-04
145699739995,1101010001,大米_289,2.51,2027-11-04
764377174944,1101010001,大米_78,4.01,2027-11-04
133942998327,1101010001,大米_216,3.04,2027-11-04
912817933295,1101010001,大米_268,2.64,2027-11-04
504636132674,1101010001,大米_256,4.52,2027-11-04
390014920967,1101010001,大米_112,3.76,2027-11-04
727480809760,1101010001,大米_231,3.78,2027-11-04
188064333442,1101010001,大米_121,3.96,2027-11-04
127336140671,1101010001,大米_30,2.9,2027-11-04
674625126409,1101010001,大米_303,2.89,2027-11-04
945831417949,1101010001,大米_1,3.06,2027-11-04
753035165757,1101010001,大米_204,4.5,2027-11-04
392207117515,1101010001,大米_133,3.66,2027-11-04
153915230472,1101010001,大米_118,3.78,2027-11-04
636405171624,1101010001,大米_57,4.69,2027-11-04
186392756420,1101010001,大米_72,3.27,2027-11-04
